wid,cat_id,raw_outcome,outcome
we60e295,ANIMALS,bears,bear
we60e295,ANIMALS,tigers,tiger
we60e295,ANIMALS,lions,lion
we60e295,ANIMALS,elephants,elephant
we60e295,ANIMALS,zebra,zebra
we60e295,ANIMALS,giraffe,giraffe
we60e295,SUBJECTS,math,math
we60e295,SUBJECTS,english,english
we60e295,SUBJECTS,scienc,science
we60e295,SUBJECTS,history,history
we60e295,SUBJECTS,spanish,spanish
we60e295,SUBJECTS,communications,UNK
we60e295,SPORTS,basketball,basketball
we60e295,SPORTS,football,football
we60e295,SPORTS,baseball,baseball
we60e295,SPORTS,tennis,tennis
we60e295,SPORTS,\hockey,hockey
we60e295,SPORTS,golf,golf
we60e295,TRANSPORT,cars,car
we60e295,TRANSPORT,walking,walking
we60e295,TRANSPORT,bus,bus
we60e295,TRANSPORT,train,train
we60e295,TRANSPORT,plain,airplane
we60e295,TRANSPORT,bike,bicycle
we60e295,TRANSPORT,boat,boat
w1845037,SPORTS,Football,football
w1845037,SPORTS,soccer,soccer
w1845037,SPORTS,baseball,baseball
w1845037,SPORTS,hockey,hockey
w1845037,ANIMALS,elephant,elephant
w1845037,ANIMALS,lion,lion
w1845037,ANIMALS,tiger,tiger
w1845037,ANIMALS,frog,frog
w1845037,ANIMALS,antelope,UNK
w1845037,SUBJECTS,mathg,math
w1845037,SUBJECTS,science,science
w1845037,SUBJECTS,englishj,english
w1845037,SUBJECTS,sociology,sociology
w1845037,TRANSPORT,car,car
w1845037,TRANSPORT,bike,bicycle
w1845037,TRANSPORT,motorcycle,motorcycle
w1845037,TRANSPORT,bu8ss,UNK
w1845037,TRANSPORT,pane,UNK
wae933d7,SPORTS,baseball,baseball
wae933d7,SPORTS,football,football
wae933d7,SPORTS,hockey,hockey
wae933d7,SPORTS,tennis,tennis
wae933d7,TRANSPORT,car,car
wae933d7,TRANSPORT,bus,bus
wae933d7,TRANSPORT,plane,airplane
wae933d7,TRANSPORT,skateboard,skateboard
wae933d7,TRANSPORT,tram,tram
wae933d7,ANIMALS,giraffe,giraffe
wae933d7,ANIMALS,ape,UNK
wae933d7,ANIMALS,penguins,penguin
wae933d7,ANIMALS,elephant,elephant
wae933d7,ANIMALS,tiger,tiger
wae933d7,SUBJECTS,math,math
wae933d7,SUBJECTS,english,english
wae933d7,SUBJECTS,geography,geography
wae933d7,SUBJECTS,literature,literature
w6a75588,SUBJECTS,math,math
w6a75588,SUBJECTS,literature,literature
w6a75588,SUBJECTS,language arts,UNK
w6a75588,SUBJECTS,science,science
w6a75588,ANIMALS,giraffe,giraffe
w6a75588,ANIMALS,lion,lion
w6a75588,ANIMALS,monkeys,monkey
w6a75588,ANIMALS,birds,bird
w6a75588,ANIMALS,elephants,elephant
w6a75588,TRANSPORT,car,car
w6a75588,TRANSPORT,bike,bicycle
w6a75588,TRANSPORT,walking,walking
w6a75588,TRANSPORT,uber,uber
w6a75588,TRANSPORT,bus,bus
w6a75588,TRANSPORT,subway,subway
w6a75588,SPORTS,golf,golf
w6a75588,SPORTS,baseball,baseball
w6a75588,SPORTS,football,football
w6a75588,SPORTS,soccer,soccer
w8f13279,TRANSPORT,car,car
w8f13279,TRANSPORT,bus,bus
w8f13279,TRANSPORT,train,train
w8f13279,TRANSPORT,airplane,airplane
w8f13279,TRANSPORT,walking,walking
w8f13279,TRANSPORT,bicycle,bicycle
w8f13279,TRANSPORT,suway,subway
w8f13279,TRANSPORT,truck,truck
w8f13279,ANIMALS,zebra,zebra
w8f13279,ANIMALS,giraffe,giraffe
w8f13279,ANIMALS,lion,lion
w8f13279,ANIMALS,tiger,tiger
w8f13279,ANIMALS,monkeys,monkey
w8f13279,ANIMALS,elephant,elephant
w8f13279,SPORTS,baseball,baseball
w8f13279,SPORTS,boxing,boxing
w8f13279,SPORTS,mma,mixed martial arts
w8f13279,SPORTS,pancrase,UNK
w8f13279,SPORTS,football,football
w8f13279,SPORTS,hockey,hockey
w8f13279,SPORTS,muay thai,UNK
w8f13279,SPORTS,mma,mixed martial arts
w8f13279,SPORTS,grappling,UNK
w8f13279,SUBJECTS,history,history
w8f13279,SUBJECTS,physics,physics
w8f13279,SUBJECTS,chemistry,chemistry
w8f13279,SUBJECTS,geometry,geometry
w8f13279,SUBJECTS,algebra,algebra
w8f13279,SUBJECTS,computer science,computer science
w8f13279,SUBJECTS,information systems,UNK
w8f13279,SUBJECTS,sociology,sociology
w8f13279,SUBJECTS,psycholo,psychology
wc1626b1,TRANSPORT,bus,bus
wc1626b1,TRANSPORT,car,car
wc1626b1,TRANSPORT,train,train
wc1626b1,TRANSPORT,plane,airplane
wc1626b1,TRANSPORT,boat,boat
wc1626b1,TRANSPORT,ship,ship
wc1626b1,SPORTS,soccer,soccer
wc1626b1,SPORTS,football,football
wc1626b1,SPORTS,hockey,hockey
wc1626b1,SPORTS,tennis,tennis
wc1626b1,ANIMALS,zebra,zebra
wc1626b1,ANIMALS,bear,bear
wc1626b1,ANIMALS,lion,lion
wc1626b1,ANIMALS,tiger,tiger
wc1626b1,ANIMALS,elephant,elephant
wc1626b1,ANIMALS,giraffe,giraffe
wc1626b1,ANIMALS,horse,horse
wc1626b1,SUBJECTS,english,english
wc1626b1,SUBJECTS,science,science
wc1626b1,SUBJECTS,math,math
wc1626b1,SUBJECTS,languages,UNK
w7168c56,SUBJECTS,math,math
