wid,control,consideration_time,reflection_time,n_considered,n_unconsidered,time_limit,completed,bonus,version
wbc9d68b,low,8,10,100,100,15,True,0.0,acc-v2.0
w6ad7cad,low,8,10,100,100,15,True,0.0,acc-v2.0
wc75bf5d,low,8,10,100,100,15,True,0.0,acc-v2.0
w1845037,low,8,10,100,100,15,True,0.0,acc-v2.0
w3dd15bd,low,8,10,100,100,15,,,acc-v2.0
w74bcd89,low,8,10,100,100,15,True,0.0,acc-v2.0
w988391c,low,8,10,100,100,15,True,0.0,acc-v2.0
wd11ba0c,low,8,10,100,100,15,True,0.0,acc-v2.0
wfafd889,low,8,10,100,100,15,True,0.0,acc-v2.0
w9866c46,low,8,10,100,100,15,True,0.0,acc-v2.0
wae9c64e,low,8,10,100,100,15,True,0.0,acc-v2.0
wedc340e,low,8,10,100,100,15,,,acc-v2.0
w4de2f17,low,8,10,100,100,15,True,0.0,acc-v2.0
wea4f1ad,low,8,10,100,100,15,True,0.0,acc-v2.0
w9b5c5fb,low,8,10,100,100,15,,,acc-v2.0
wc698031,low,8,10,100,100,15,True,0.0,acc-v2.0
w128d02d,low,8,10,100,100,15,True,0.0,acc-v2.0
w3dc57d7,low,8,10,100,100,15,True,0.0,acc-v2.0
w5e0e249,low,8,10,100,100,15,True,0.0,acc-v2.0
w12aa100,low,8,10,100,100,15,True,0.0,acc-v2.0
wb334f4f,low,8,10,100,100,15,,,acc-v2.0
w3a4f74e,low,8,10,100,100,15,True,0.0,acc-v2.0
w70625df,low,8,10,100,100,15,True,0.0,acc-v2.0
w1aaf266,low,8,10,100,100,15,True,0.0,acc-v2.0
w8f13279,low,8,10,100,100,15,True,0.0,acc-v2.0
wa87bd42,low,8,10,100,100,15,True,0.0,acc-v2.0
weda260a,low,8,10,100,100,15,,,acc-v2.0
w901e8c9,low,8,10,100,100,15,True,0.0,acc-v2.0
w1920e36,low,8,10,100,100,15,True,0.0,acc-v2.0
wbe212c1,low,8,10,100,100,15,True,0.0,acc-v2.0
wd0004e9,low,8,10,100,100,15,True,0.0,acc-v2.0
w4fc5889,low,8,10,100,100,15,True,0.0,acc-v2.0
wd4f6b81,low,8,10,100,100,15,True,0.0,acc-v2.0
w62840af,low,8,10,100,100,15,True,0.0,acc-v2.0
w5ce54cf,low,8,10,100,100,15,True,0.0,acc-v2.0
w6440c39,low,8,10,100,100,15,True,0.0,acc-v2.0
w9452bf7,low,8,10,100,100,15,True,0.0,acc-v2.0
w758ac9b,low,8,10,100,100,15,True,0.0,acc-v2.0
web2ab90,low,8,10,100,100,15,True,0.0,acc-v2.0
w965beb8,low,8,10,100,100,15,True,0.0,acc-v2.0
wc81f39a,low,8,10,100,100,15,True,0.0,acc-v2.0
w83530e6,low,8,10,100,100,15,,,acc-v2.0
w151aa43,low,8,10,100,100,15,,,acc-v2.0
wb8337af,low,8,10,100,100,15,True,0.0,acc-v2.0
wb48b3ac,low,8,10,100,100,15,True,0.0,acc-v2.0
w2d055ab,low,8,10,100,100,15,True,0.0,acc-v2.0
w923c1a1,low,8,10,100,100,15,True,0.0,acc-v2.0
w53a9de2,low,8,10,100,100,15,True,0.0,acc-v2.0
w8e94d7c,low,8,10,100,100,15,True,0.0,acc-v2.0
wa291cb1,low,8,10,100,100,15,True,0.0,acc-v2.0
w9a81d72,low,8,10,100,100,15,True,0.0,acc-v2.0
