bimodal,ideal,passComp,sample,avg
0,2,0,72,46
1,2,0,43,30
0,1,1,48,32
0,1,1,68,50
0,1,1,64,75
1,0,0,40,65
0,1,1,75,47
1,0,1,23,59
0,2,1,32,44
1,0,1,48,41
0,0,0,7,29
1,1,0,47,45
1,2,0,82,65
0,0,1,0,51
0,2,0,100,100
1,1,0,81,62
0,2,1,53,46
0,1,1,73,60
1,2,0,100,100
1,1,0,78,38
1,0,1,33,50
1,0,0,52,66
1,2,0,47,55
0,1,0,71,40
1,0,1,20,42
0,2,1,55,35
0,1,1,84,64
0,0,1,33,39
0,0,1,22,34
0,1,1,58,43
1,1,1,84,60
1,1,1,35,47
0,1,0,70,56
1,0,1,40,33
1,0,0,22,32
1,0,0,53,25
0,2,1,38,36
0,2,1,41,54
1,2,0,100,92
0,1,1,29,50
0,1,1,71,30
0,2,0,53,44
1,2,0,37,18
0,0,0,18,36
1,0,1,12,45
0,2,0,52,41
1,0,0,12,31
1,1,1,56,33
0,0,1,12,37
1,0,1,15,31
1,2,0,51,70
0,0,0,27,24
0,1,1,89,88
0,1,1,67,43
0,2,1,34,27
1,0,1,14,36
0,2,1,45,62
1,0,1,50,42
0,2,0,100,81
0,1,1,86,54
1,0,0,30,50
1,2,1,53,68
0,1,1,46,22
1,0,0,90,82
1,1,1,100,63
1,0,1,28,29
0,1,1,75,31
0,1,1,34,33
1,2,1,37,46
0,1,0,87,64
1,1,1,66,49
0,0,0,29,34
1,1,1,77,50
1,0,1,19,30
0,0,1,27,40
1,2,0,43,40
1,0,1,22,40
0,2,1,44,37
1,2,1,48,57
0,2,0,59,58
1,0,0,38,43
0,2,1,18,25
1,1,1,82,62
0,0,0,59,83
0,0,1,30,45
1,1,0,50,76
1,1,0,90,81
1,2,1,34,44
1,2,0,58,100
0,2,0,32,42
1,2,0,43,48
1,1,1,32,40
0,0,1,14,24
0,0,1,37,30
0,1,0,28,41
1,1,0,80,48
0,2,1,48,42
1,1,1,55,54
0,2,1,33,44
1,2,1,27,29
0,1,1,64,55
1,0,1,24,40
0,0,1,58,49
0,0,1,20,35
1,0,1,6,28
0,0,0,37,44
0,1,1,20,24
0,0,0,9,31
0,2,1,41,42
0,2,1,53,34
1,0,1,17,34
1,2,1,54,47
0,0,0,37,41
0,1,1,74,33
1,0,1,49,64
1,0,1,34,44
1,1,0,100,83
0,2,1,52,49
1,1,0,92,70
0,0,0,14,39
1,0,1,37,60
0,0,0,66,86
1,1,0,84,48
1,1,0,62,38
0,2,0,94,93
1,1,1,84,45
1,0,1,17,38
1,1,1,38,86
0,2,0,76,60
1,2,0,37,57
0,0,1,27,40
0,2,0,53,57
1,1,0,83,64
0,1,0,54,48
0,1,0,78,65
0,2,1,43,20
0,0,1,4,11
0,1,1,87,55
1,0,0,38,38
1,1,1,61,63
1,1,1,42,32
1,2,0,39,48
1,1,1,49,57
0,1,1,41,42
1,2,1,68,74
1,2,1,32,38
1,0,0,51,85
0,1,1,29,48
1,1,1,77,57
0,1,0,100,43
