wid,outcome,evaluation,prompt_id,raw_outcome
w69e0b53,english,5,Subjects (magic),english
w69e0b53,geometry,0,Subjects (magic),geometry
w69e0b53,history,-1,Subjects (magic),history
w69e0b53,biology,7,Subjects (magic),biology
w69e0b53,french,-7,Subjects (magic),french
w69e0b53,chemistry,3,Subjects (magic),chemistry
w69e0b53,spanish,1,Subjects (magic),spanish
w69e0b53,physics,-6,Subjects (magic),physics
w69e0b53,algebra,-6,Subjects (magic),algebra
w69e0b53,calculus,-6,Subjects (magic),calculus
w69e0b53,pineapple,10,Fruit (daily),pineapple
w69e0b53,raspberry,8,Fruit (daily),raspberry
w69e0b53,mango,10,Fruit (daily),mango
w69e0b53,lemon,1,Fruit (daily),lemon
w69e0b53,cantaloupe,0,Fruit (daily),cantaloupe
w69e0b53,orange,10,Fruit (daily),orange
w69e0b53,watermelon,8,Fruit (daily),watermelon
w69e0b53,strawberry,7,Fruit (daily),strawberry
w69e0b53,grape,10,Fruit (daily),grape
w69e0b53,peach,10,Fruit (daily),peach
w69e0b53,banana,3,Fruit (daily),banana
w69e0b53,blueberry,7,Fruit (daily),blueberry
w69e0b53,blackberry,8,Fruit (daily),blackberry
w69e0b53,scooter,0,Vehicles (veto),scooter
w69e0b53,bus,7,Vehicles (veto),bus
w69e0b53,helicopter,-5,Vehicles (veto),helicopter
w69e0b53,unicycle,0,Vehicles (veto),unicycle
w69e0b53,car,-10,Vehicles (veto),car
w69e0b53,bicycle,-9,Vehicles (veto),bicycle
w69e0b53,limousine,-3,Vehicles (veto),limousine
w69e0b53,boat,-7,Vehicles (veto),boat
w69e0b53,plane,-7,Vehicles (veto),plane
w69e0b53,skateboard,-1,Vehicles (veto),skateboard
w69e0b53,train,-1,Vehicles (veto),train
w69e0b53,zebra,7,Animals (bubble),zebra
w69e0b53,deer,3,Animals (bubble),deer
w69e0b53,tiger,9,Animals (bubble),tiger
w69e0b53,jaguar,9,Animals (bubble),jaguar
w69e0b53,sloth,-10,Animals (bubble),sloth
w69e0b53,crocodile,6,Animals (bubble),crocodile
w69e0b53,panda,8,Animals (bubble),panda
w69e0b53,kangaroo,7,Animals (bubble),kangaroo
w69e0b53,giraffe,7,Animals (bubble),giraffe
w69e0b53,rhinoceros,2,Animals (bubble),rhinoceros
