wid,prompt_id,raw_outcome,outcome
w6068561,Fruit (ripe),tropical fruit,UNK
w6068561,Subjects (school),Astronomy,UNK
w6068561,Sports (season),Skateboarding,UNK
w6068561,Animals (intimate),penguins,UNK
w6068561,Vehicles (commute),Pirvate Car,UNK
w6068561,Cities (vacation),Berlin,UNK
w784e727,Fruit (daily),Strawberries ,strawberry
w784e727,Sports (silence),Hockey,UNK
w784e727,Animals (bubble),Giraffe,giraffe
w784e727,Vehicles (veto),Light rail,UNK
w784e727,Cities (moving),Paris,paris
w784e727,Subjects (magic),Science,UNK
w9c17360,Fruit (ripe),apple,UNK
w9c17360,Vehicles (commute),plane,plane
w9c17360,Animals (intimate),gorilla,gorilla
w9c17360,Subjects (school),mandarin,UNK
w9c17360,Cities (vacation),london,london
w9c17360,Sports (season),football,football
waabf87a,Sports (silence),Gymnastics,UNK
waabf87a,Cities (moving),Paris,paris
waabf87a,Fruit (daily),Lemon,lemon
waabf87a,Animals (bubble),Slug,UNK
waabf87a,Subjects (magic),Business,UNK
waabf87a,Vehicles (veto),Car,car
