wid,prompt_id,outcome,evaluation,considered
we14a8c0,Sports (season),badminton,-8,False
we14a8c0,Sports (season),rugby,0,False
we14a8c0,Sports (season),baseball,-7,True
we14a8c0,Sports (season),cricket,-4,False
we14a8c0,Sports (season),volleyball,5,False
we14a8c0,Sports (season),tennis,0,False
we14a8c0,Sports (season),basketball,10,False
we14a8c0,Sports (season),soccer,2,True
we14a8c0,Sports (season),golf,-10,False
we14a8c0,Sports (season),boxing,-8,False
we14a8c0,Sports (season),bowling,-7,False
we14a8c0,Sports (season),lacrosse,4,False
we14a8c0,Sports (season),football,8,False
we14a8c0,Subjects (school),history,5,False
we14a8c0,Subjects (school),physics,-9,False
we14a8c0,Subjects (school),french,-7,False
we14a8c0,Subjects (school),geometry,-8,False
we14a8c0,Subjects (school),biology,4,False
we14a8c0,Subjects (school),algebra,-6,False
we14a8c0,Subjects (school),spanish,4,False
we14a8c0,Subjects (school),chemistry,-8,True
we14a8c0,Subjects (school),calculus,-10,False
we14a8c0,Subjects (school),english,9,False
we14a8c0,Animals (intimate),lemur,5,False
we14a8c0,Animals (intimate),peacock,4,False
we14a8c0,Animals (intimate),deer,3,False
we14a8c0,Animals (intimate),penguin,9,False
we14a8c0,Animals (intimate),shark,-6,False
we14a8c0,Animals (intimate),zebra,7,False
we14a8c0,Animals (intimate),cobra,-10,False
we14a8c0,Animals (intimate),hippo,-7,True
we14a8c0,Animals (intimate),koala,8,False
we14a8c0,Animals (intimate),jaguar,-9,False
we14a8c0,Animals (intimate),giraffe,2,False
we14a8c0,Animals (intimate),panda,4,False
we14a8c0,Animals (intimate),monkey,-2,False
we14a8c0,Animals (intimate),lion,-10,False
we14a8c0,Animals (intimate),kangaroo,-5,False
we14a8c0,Animals (intimate),snake,-6,False
we14a8c0,Animals (intimate),gorilla,-7,True
we14a8c0,Animals (intimate),tiger,-8,True
we14a8c0,Animals (intimate),dolphin,6,False
we14a8c0,Animals (intimate),elephant,3,False
we14a8c0,Vehicles (commute),car,10,False
we14a8c0,Vehicles (commute),bicycle,-7,True
we14a8c0,Vehicles (commute),motorcycle,-3,False
we14a8c0,Vehicles (commute),plane,-6,False
we14a8c0,Vehicles (commute),unicycle,-10,False
we14a8c0,Vehicles (commute),bus,-4,True
we14a8c0,Vehicles (commute),helicopter,-1,False
we14a8c0,Vehicles (commute),boat,-7,False
we14a8c0,Vehicles (commute),skateboard,-9,False
we14a8c0,Vehicles (commute),limousine,5,False
we14a8c0,Vehicles (commute),train,0,False
we14a8c0,Vehicles (commute),scooter,-8,False
we14a8c0,Fruit (ripe),orange,4,False
we14a8c0,Fruit (ripe),blueberry,3,False
we14a8c0,Fruit (ripe),raspberry,-1,False
we14a8c0,Fruit (ripe),lemon,0,False
we14a8c0,Fruit (ripe),grape,6,False
we14a8c0,Fruit (ripe),mango,8,False
we14a8c0,Fruit (ripe),pineapple,7,False
we14a8c0,Fruit (ripe),blackberry,-4,False
we14a8c0,Fruit (ripe),peach,2,False
we14a8c0,Fruit (ripe),strawberry,-8,False
we14a8c0,Fruit (ripe),banana,4,False
we14a8c0,Fruit (ripe),watermelon,1,False
we14a8c0,Fruit (ripe),cantaloupe,-2,False
we14a8c0,Cities (vacation),Paris,4,False
we14a8c0,Cities (vacation),Rome,8,False
we14a8c0,Cities (vacation),Vienna,6,False
we14a8c0,Cities (vacation),Madrid,7,False
we14a8c0,Cities (vacation),Athens,10,False
we14a8c0,Cities (vacation),Venice,4,False
we14a8c0,Cities (vacation),Amsterdam,2,False
we14a8c0,Cities (vacation),London,9,False
wa75c289,Vehicles (veto),train,-1,True
wa75c289,Vehicles (veto),car,-10,False
wa75c289,Vehicles (veto),limousine,0,False
wa75c289,Vehicles (veto),scooter,0,False
wa75c289,Vehicles (veto),boat,0,False
wa75c289,Vehicles (veto),helicopter,0,False
wa75c289,Vehicles (veto),skateboard,-2,False
wa75c289,Vehicles (veto),bus,-3,True
wa75c289,Vehicles (veto),bicycle,4,False
wa75c289,Vehicles (veto),plane,-4,False
wa75c289,Vehicles (veto),motorcycle,8,False
wa75c289,Vehicles (veto),unicycle,4,False
wa75c289,Cities (moving),Athens,2,True
wa75c289,Cities (moving),Paris,4,True
wa75c289,Cities (moving),Amsterdam,1,True
wa75c289,Cities (moving),Madrid,8,False
wa75c289,Cities (moving),London,2,False
wa75c289,Cities (moving),Rome,3,False
wa75c289,Cities (moving),Venice,6,True
wa75c289,Cities (moving),Vienna,3,False
wa75c289,Animals (bubble),dolphin,8,False
wa75c289,Animals (bubble),lion,5,False
wa75c289,Animals (bubble),koala,0,False
wa75c289,Animals (bubble),tiger,2,False
wa75c289,Animals (bubble),lemur,0,False
wa75c289,Animals (bubble),zebra,2,False
wa75c289,Animals (bubble),snake,-2,False
wa75c289,Animals (bubble),elephant,2,False
wa75c289,Animals (bubble),monkey,5,False
wa75c289,Animals (bubble),penguin,9,False
wa75c289,Animals (bubble),gorilla,-1,False
wa75c289,Animals (bubble),kangaroo,3,False
wa75c289,Animals (bubble),deer,1,False
wa75c289,Animals (bubble),hippo,2,False
wa75c289,Animals (bubble),cobra,-7,False
wa75c289,Animals (bubble),peacock,7,False
wa75c289,Animals (bubble),panda,4,False
wa75c289,Animals (bubble),giraffe,0,False
wa75c289,Animals (bubble),jaguar,-1,False
wa75c289,Animals (bubble),shark,-9,False
wa75c289,Subjects (magic),english,0,False
wa75c289,Subjects (magic),physics,1,False
wa75c289,Subjects (magic),biology,1,False
wa75c289,Subjects (magic),calculus,4,False
wa75c289,Subjects (magic),geometry,0,False
wa75c289,Subjects (magic),spanish,0,False
wa75c289,Subjects (magic),algebra,2,False
wa75c289,Subjects (magic),history,1,False
wa75c289,Subjects (magic),french,4,False
wa75c289,Subjects (magic),chemistry,6,False
wa75c289,Sports (silence),tennis,-2,False
wa75c289,Sports (silence),golf,5,False
wa75c289,Sports (silence),cricket,3,False
wa75c289,Sports (silence),lacrosse,8,False
wa75c289,Sports (silence),bowling,3,False
wa75c289,Sports (silence),rugby,0,False
wa75c289,Sports (silence),boxing,0,False
wa75c289,Sports (silence),soccer,-2,False
wa75c289,Sports (silence),baseball,1,False
wa75c289,Sports (silence),badminton,5,False
wa75c289,Sports (silence),volleyball,0,False
wa75c289,Sports (silence),basketball,0,False
wa75c289,Sports (silence),football,-4,False
wa75c289,Fruit (daily),mango,9,False
wa75c289,Fruit (daily),raspberry,-1,False
wa75c289,Fruit (daily),grape,2,False
wa75c289,Fruit (daily),watermelon,5,False
wa75c289,Fruit (daily),pineapple,6,False
wa75c289,Fruit (daily),blueberry,2,False
wa75c289,Fruit (daily),lemon,-5,False
wa75c289,Fruit (daily),blackberry,1,False
wa75c289,Fruit (daily),peach,5,False
wa75c289,Fruit (daily),banana,-4,False
wa75c289,Fruit (daily),strawberry,4,False
wa75c289,Fruit (daily),orange,3,False
wa75c289,Fruit (daily),cantaloupe,2,False
w8317a27,Animals (bubble),panda,2,False
w8317a27,Animals (bubble),jaguar,3,False
w8317a27,Animals (bubble),elephant,5,True
w8317a27,Animals (bubble),cobra,-2,False
w8317a27,Animals (bubble),dolphin,8,False
w8317a27,Animals (bubble),deer,-2,False
w8317a27,Animals (bubble),snake,-4,False
w8317a27,Animals (bubble),tiger,6,True
w8317a27,Animals (bubble),shark,2,False
w8317a27,Animals (bubble),lemur,10,False
w8317a27,Animals (bubble),peacock,7,False
w8317a27,Animals (bubble),gorilla,3,False
w8317a27,Animals (bubble),penguin,3,False
w8317a27,Animals (bubble),monkey,3,False
w8317a27,Animals (bubble),lion,1,False
w8317a27,Animals (bubble),hippo,1,False
w8317a27,Animals (bubble),kangaroo,4,False
w8317a27,Animals (bubble),giraffe,7,True
w8317a27,Animals (bubble),koala,-2,False
w8317a27,Animals (bubble),zebra,1,False
w8317a27,Vehicles (veto),car,-10,False
w8317a27,Vehicles (veto),boat,0,False
w8317a27,Vehicles (veto),bus,2,True
w8317a27,Vehicles (veto),motorcycle,8,False
w8317a27,Vehicles (veto),helicopter,10,False
w8317a27,Vehicles (veto),scooter,0,False
w8317a27,Vehicles (veto),bicycle,5,False
w8317a27,Vehicles (veto),train,0,False
w8317a27,Vehicles (veto),skateboard,0,False
w8317a27,Vehicles (veto),limousine,-1,False
w8317a27,Vehicles (veto),unicycle,0,False
w8317a27,Vehicles (veto),plane,-1,False
w8317a27,Fruit (daily),strawberry,1,False
w8317a27,Fruit (daily),banana,10,False
w8317a27,Fruit (daily),pineapple,-2,False
w8317a27,Fruit (daily),blackberry,2,False
w8317a27,Fruit (daily),lemon,-10,False
w8317a27,Fruit (daily),grape,0,False
w8317a27,Fruit (daily),peach,2,False
w8317a27,Fruit (daily),orange,0,False
w8317a27,Fruit (daily),mango,1,False
w8317a27,Fruit (daily),raspberry,3,False
w8317a27,Fruit (daily),blueberry,4,False
w8317a27,Fruit (daily),cantaloupe,-1,False
w8317a27,Fruit (daily),watermelon,-1,False
w8317a27,Subjects (magic),english,0,False
w8317a27,Subjects (magic),history,10,False
w8317a27,Subjects (magic),french,8,False
w8317a27,Subjects (magic),chemistry,-5,False
