outcome,accessibility,wid,considered,evaluation,scenario,raw_outcome,subj,control,evaluation_z,abs_eval,abs_eval_z,consideration,scenario_evaluation,scenario_evaluation_z
algebra,0.06315789473684211,w0b34d6e,FALSE,2,subjects (magic),algebra,3,low,0.1915508679761234,2,-0.393395048814197,unconsidered,10,0.8630442403635763
algebra,0.06315789473684211,w8318954,FALSE,6,subjects (school),algebra,1,high,1.4460093741873297,6,0.14376409313209437,unconsidered,2,-0.43915503282683993
algebra,0.06315789473684211,w76890f1,FALSE,5,subjects (magic),algebra,4,high,0.23210819745606967,5,-0.10630721993812657,unconsidered,10,1.1118908983632405
algebra,0.06315789473684211,w1e31a72,FALSE,-2,subjects (magic),algebra,2,low,-1.4437919075826187,2,-0.8726712066644751,unconsidered,10,0.8636363636363636
algebra,0.06315789473684211,w5e62b40,FALSE,-2,subjects (school),algebra,5,low,0.20133150804211059,2,-0.9047933709658331,unconsidered,3,1.2402159462046676
algebra,0.06315789473684211,w616cc3b,FALSE,7,subjects (magic),algebra,41,low,0.9218000183640322,7,0.6588660715988299,unconsidered,7,0.9246524787214351
algebra,0.06315789473684211,wf04dfee,FALSE,1,subjects (magic),algebra,18,high,-0.2636252479469464,1,-0.942699006852737,unconsidered,-3,-0.6908492797077573
algebra,0.06315789473684211,w251ef24,FALSE,-2,subjects (school),algebra,21,high,-0.4874968226976292,2,-0.4945986069950489,unconsidered,-4,-1.0714285714285714
algebra,0.06315789473684211,wc5f34d8,FALSE,10,subjects (school),algebra,9,high,1.640203550410244,10,0.8707693054891187,unconsidered,10,0.9771621231801679
algebra,0.06315789473684211,w0c074de,FALSE,-10,subjects (school),algebra,30,low,-0.8626545470062039,10,0.752867829354663,unconsidered,-10,-0.5
algebra,0.06315789473684211,w3e97a1f,FALSE,-10,subjects (school),algebra,36,high,-0.5626032828808352,10,0.5058655960006792,unconsidered,5,1.106605743337003
algebra,0.06315789473684211,wd5a2d8f,FALSE,-1,subjects (magic),algebra,22,high,-0.9785838103216465,1,-0.8081174050526037,unconsidered,5,0.8622018733942658
algebra,0.06315789473684211,w2777a8f,FALSE,3,subjects (school),algebra,26,high,0.31313106334935165,3,-0.5626548621444823,unconsidered,0,-1.0456450133653885
algebra,0.06315789473684211,w363e6ac,FALSE,5,subjects (magic),algebra,40,low,0.6431920864232733,5,0.28577380332470403,unconsidered,8,1.0861047683908953
algebra,0.06315789473684211,w4a284b9,FALSE,2,subjects (school),algebra,20,low,0.7498074803140381,2,-1.1127895988649819,unconsidered,0,0.6510860492118233
algebra,0.06315789473684211,w0663715,FALSE,1,subjects (magic),algebra,42,high,-0.45303103390643795,1,-1.0935620580376582,unconsidered,9,1.1349748626869662
algebra,0.06315789473684211,w98f1b99,FALSE,2,subjects (magic),algebra,31,low,-0.17019030199986582,2,-0.8272470308278526,unconsidered,10,0.7483832703767802
algebra,0.06315789473684211,w73ed943,FALSE,-5,subjects (school),algebra,52,high,-0.5265779110497621,5,-0.14870813293635057,unconsidered,5,0.7483832703767802
algebra,0.06315789473684211,w26c2bef,FALSE,4,subjects (school),algebra,7,low,0.8457670910253287,4,-0.18645863043569613,unconsidered,-3,-0.24524946383020216
algebra,0.06315789473684211,w1c3dd8c,FALSE,10,subjects (magic),algebra,23,low,0.7418560480982406,10,0.6300061907214507,unconsidered,10,0.860387565459546
algebra,0.06315789473684211,wc146e19,FALSE,8,subjects (magic),algebra,46,low,0.8994297263013318,8,0.7144552429899027,unconsidered,10,0.8660254037844386
algebra,0.06315789473684211,webaf5b1,FALSE,5,subjects (magic),algebra,50,high,0.6887347984635303,5,0.24082510493792741,unconsidered,3,0.3
algebra,0.06315789473684211,wc37a2ec,FALSE,6,subjects (magic),algebra,32,low,0.8117480590905685,6,0.681672395171454,unconsidered,9,1.1334122012412815
algebra,0.06315789473684211,w2be12ca,FALSE,9,subjects (school),algebra,15,high,1.1216962907311825,9,0.8156572466373794,unconsidered,10,0.6388991238024045
algebra,0.06315789473684211,w2baccaf,FALSE,0,subjects (magic),algebra,14,low,-0.7517954429857152,0,-1.2792042981336627,unconsidered,7,0.5722930891116554
algebra,0.06315789473684211,w2044ba1,FALSE,8,subjects (school),algebra,49,high,2.0445293582521664,8,0.6666666666666666,unconsidered,-5,-0.08703882797784893
algebra,0.06315789473684211,w31c2904,FALSE,1,subjects (school),algebra,44,high,0.6125658036156255,1,-0.896540423370991,unconsidered,-8,-1.1666666666666667
algebra,0.06315789473684211,wd61612e,FALSE,2,subjects (school),algebra,28,low,0.5428288176344194,2,-1.0136060675992289,unconsidered,1,0.3568732135731648
algebra,0.06315789473684211,we2a0c38,FALSE,10,subjects (magic),algebra,34,low,1.3328939979031686,10,1.100431140917688,unconsidered,10,1.198338009917897
algebra,0.06315789473684211,w6449213,FALSE,2,subjects (magic),algebra,12,high,0.3374212094842247,2,-0.13052348359317953,unconsidered,4,1.0097836012474726
algebra,0.06315789473684211,w1c6ef1a,FALSE,9,subjects (school),algebra,27,low,1.6694992663479835,9,0.8792778195163371,unconsidered,0,0.7118684968143741
algebra,0.06315789473684211,w94007a6,FALSE,9,subjects (magic),algebra,48,low,1.1064188230073604,9,0.9908688008847691,unconsidered,10,1.1882431182990514
algebra,0.06315789473684211,wbb75636,FALSE,5,subjects (school),algebra,43,high,0.9326984663434758,5,-0.19097049542795114,unconsidered,2,0.48692584054817667
