wid,outcome,evaluation,cat_id,scenario,control,order,considered,evaluation_z,abs_eval,abs_eval_z,accessibility
w01057a8,dolphin,6,ANIMALS,animals (intimate),high,NA,FALSE,0.9117486265341291,6,0.5780543018759997,0.031578947368421054
w01057a8,polar bear,6,ANIMALS,animals (intimate),high,NA,FALSE,0.9117486265341291,6,0.5780543018759997,0.05263157894736842
w01057a8,frog,-3,ANIMALS,animals (intimate),high,NA,FALSE,-0.8624649169917439,3,-0.3557257242313846,0.031578947368421054
w01057a8,bird,-3,ANIMALS,animals (intimate),high,NA,FALSE,-0.8624649169917439,3,-0.3557257242313846,0.042105263157894736
w01057a8,flamingo,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.06315789473684211
w01057a8,kangaroo,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.05263157894736842
w01057a8,tiger,2,ANIMALS,animals (intimate),high,NA,FALSE,0.1232092738559634,2,-0.666985732933846,0.5789473684210527
w01057a8,sea lion,6,ANIMALS,animals (intimate),high,NA,FALSE,0.9117486265341291,6,0.5780543018759997,0.021052631578947368
w01057a8,ostrich,1,ANIMALS,animals (intimate),high,NA,FALSE,-0.07392556431357804,1,-0.9782457416363075,0.042105263157894736
w01057a8,panda,3,ANIMALS,animals (intimate),high,NA,FALSE,0.32034411202550483,3,-0.3557257242313846,0.14736842105263157
w01057a8,otter,5,ANIMALS,animals (intimate),high,NA,FALSE,0.7146137883645878,5,0.26679429317353826,0.021052631578947368
w01057a8,hippo,3,ANIMALS,animals (intimate),high,NA,FALSE,0.32034411202550483,3,-0.3557257242313846,0.042105263157894736
w01057a8,llama,1,ANIMALS,animals (intimate),high,NA,FALSE,-0.07392556431357804,1,-0.9782457416363075,0.021052631578947368
w01057a8,lion,4,ANIMALS,animals (intimate),high,NA,FALSE,0.5174789501950463,4,-0.04446571552892318,0.7789473684210526
w01057a8,wolf,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.042105263157894736
w01057a8,monkey,-4,ANIMALS,animals (intimate),high,NA,FALSE,-1.0595997551612852,4,-0.04446571552892318,0.4105263157894737
w01057a8,zebra,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.5473684210526316
w01057a8,seal,5,ANIMALS,animals (intimate),high,NA,FALSE,0.7146137883645878,5,0.26679429317353826,0.042105263157894736
w01057a8,giraffe,3,ANIMALS,animals (intimate),high,NA,FALSE,0.32034411202550483,3,-0.3557257242313846,0.4631578947368421
w01057a8,koala,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.031578947368421054
w01057a8,rhinoceros,2,ANIMALS,animals (intimate),high,NA,FALSE,0.1232092738559634,2,-0.666985732933846,0.05263157894736842
w01057a8,bear,4,ANIMALS,animals (intimate),high,NA,FALSE,0.5174789501950463,4,-0.04446571552892318,0.35789473684210527
w01057a8,lizard,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.031578947368421054
w01057a8,crocodile,-2,ANIMALS,animals (intimate),high,NA,FALSE,-0.6653300788222024,2,-0.666985732933846,0.021052631578947368
w01057a8,turtle,2,ANIMALS,animals (intimate),high,NA,FALSE,0.1232092738559634,2,-0.666985732933846,0.021052631578947368
w01057a8,gorilla,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.17894736842105263
w01057a8,penguin,5,ANIMALS,animals (intimate),high,NA,FALSE,0.7146137883645878,5,0.26679429317353826,0.10526315789473684
w01057a8,shark,1,ANIMALS,animals (intimate),high,NA,FALSE,-0.07392556431357804,1,-0.9782457416363075,0.021052631578947368
w01057a8,snake,-2,ANIMALS,animals (intimate),high,NA,FALSE,-0.6653300788222024,2,-0.666985732933846,0.12631578947368421
w01057a8,cheetah,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.021052631578947368
w01057a8,lemur,0,ANIMALS,animals (intimate),high,NA,FALSE,-0.27106040248311947,0,-1.2895057503387688,0.05263157894736842
