wid,outcome,considered,evaluation,rt,prompt_id,raw_outcome
w3d1bfb4,mango,False,10,5711,FRUIT,mango
w3d1bfb4,UNK,True,-1,3511,FRUIT,Kiwi
w3d1bfb4,papayas,False,10,3025,FRUIT,papayas
w3d1bfb4,pear,False,10,2740,FRUIT,pear
w3d1bfb4,cantaloupe,False,10,2694,FRUIT,cantaloupe
w3d1bfb4,blueberry,True,10,2843,FRUIT,Blueberries
w3d1bfb4,cherry,False,10,2978,FRUIT,cherries
w3d1bfb4,apples,False,10,2807,FRUIT,apples
w3d1bfb4,limes,False,0,4248,FRUIT,limes
w3d1bfb4,pineapple,False,10,3986,FRUIT,pineapple
w3d1bfb4,orange,False,10,3599,FRUIT,orange
w3d1bfb4,strawberry,True,10,3114,FRUIT,Strawberries
w3d1bfb4,peaches,False,10,2843,FRUIT,peaches
w3d1bfb4,nectarines,False,10,2504,FRUIT,nectarines
w3d1bfb4,UNK,True,10,2750,FRUIT,Dragon Fruit
w3d1bfb4,bananas,False,1,5132,FRUIT,bananas
w3d1bfb4,raspberry,False,-1,5342,FRUIT,raspberries
w3d1bfb4,watermelon,False,10,2814,FRUIT,watermelon
w3d1bfb4,grapes,True,10,3068,FRUIT,Grapes
w3d1bfb4,lemon,False,-1,3544,FRUIT,lemon
w3d1bfb4,plums,False,10,2701,FRUIT,plums
w3d1bfb4,lion,False,-10,4395,ZOO,lion
w3d1bfb4,lemur,False,-5,4598,ZOO,lemur
w3d1bfb4,zebra,False,-4,4256,ZOO,zebra
w3d1bfb4,rhinoceros,False,-10,3018,ZOO,rhinoceros
w3d1bfb4,sloth,False,5,3915,ZOO,sloth
w3d1bfb4,koala,False,1,3642,ZOO,koala
w3d1bfb4,panda,False,-6,4588,ZOO,panda
w3d1bfb4,jaguar,False,-10,2744,ZOO,jaguar
w3d1bfb4,peacock,False,-10,2702,ZOO,peacock
w3d1bfb4,kangaroo,False,-10,3256,ZOO,kangaroo
w3d1bfb4,cobra,False,-10,3139,ZOO,cobra
w3d1bfb4,giraffe,False,-10,5357,ZOO,giraffe
w3d1bfb4,crocodile,False,-10,3053,ZOO,crocodile
w3d1bfb4,monkey,True,-10,3224,ZOO,Monkey 
w3d1bfb4,elephant,True,-8,5003,ZOO,Elephant
w3d1bfb4,tiger,True,-10,3045,ZOO,Tiger
w3d1bfb4,gorilla,False,-10,2722,ZOO,gorilla
w3d1bfb4,paris,True,10,3907,VACATION,Paris
w3d1bfb4,amsterdam,False,10,2788,VACATION,Amsterdam
w3d1bfb4,athens,False,10,3051,VACATION,Athens
w3d1bfb4,barcelona,False,10,3205,VACATION,Barcelona
w3d1bfb4,brussels,False,10,3253,VACATION,Brussels
w3d1bfb4,florence,False,10,2952,VACATION,Florence
w3d1bfb4,vienna,False,10,2815,VACATION,Vienna
w3d1bfb4,istanbul,False,10,5503,VACATION,Istanbul
w3d1bfb4,stockholm,False,10,2991,VACATION,Stockholm
w3d1bfb4,venice,False,10,2794,VACATION,Venice
w3d1bfb4,dublin,False,10,2874,VACATION,Dublin
w3d1bfb4,berlin,False,10,2516,VACATION,Berlin
w3d1bfb4,edinburgh,False,10,2803,VACATION,Edinburgh
w3d1bfb4,budapest,False,10,2622,VACATION,Budapest
w3d1bfb4,prague,True,10,3429,VACATION,Prague
w3d1bfb4,london,True,10,2551,VACATION,London
w3d1bfb4,copenhagen,False,10,3175,VACATION,Copenhagen
w3d1bfb4,rome,False,10,2849,VACATION,Rome
wd34206a,papayas,False,-5,11301,FRUIT,papayas
wd34206a,lemon,False,-8,11227,FRUIT,lemon
wd34206a,grapes,False,8,7949,FRUIT,grapes
wd34206a,cherry,False,10,3430,FRUIT,cherries
wd34206a,bananas,True,7,3537,FRUIT,Banana
wd34206a,strawberry,False,10,2240,FRUIT,strawberries
wd34206a,orange,False,10,2230,FRUIT,orange
wd34206a,raspberry,False,-6,4956,FRUIT,raspberries
wd34206a,nectarines,False,10,2577,FRUIT,nectarines
wd34206a,limes,False,-10,2446,FRUIT,limes
wd34206a,cantaloupe,False,-10,2236,FRUIT,cantaloupe
