wid,control,consideration_time,reflection_time,n_considered,n_unconsidered,comp_free,comp_radio,completed,bonus,version
w8e87310,high,8,10,100,100,You will pick it,False,True,0.0,v1.1
wb68d6dd,high,8,10,100,100,"The Genie tell me I can pick any item I want from the list, and I have to eat one serving of that fruit.",False,True,0.0,v1.1
wd62505b,low,8,10,100,100,The genie will randomly pick the ball.,False,True,0.0,v1.1
w16d94ab,low,8,10,100,100,Randomly picked ping pong ball with name of the fruit on it,False,True,0.0,v1.1
wacb979d,high,8,10,100,100,you pick a fruit from the list,False,True,0.0,v1.1
wc9a924c,high,8,10,100,100,"You pick any item you want from list, and have to eat one serving of it.",False,True,0.0,v1.1
w7dd5ede,low,8,10,100,100,a genie will pick a ball with one fruit,,True,0.0,v1.1
wd9c9928,low,8,10,100,100,The genie will pick out one and I will eat it,False,True,0.0,v1.1
w79e987b,low,8,10,100,100,He will pick a ball from random out of the bucket,False,True,0.0,v1.1
wd1f9a61,high,8,10,100,100,I choose a fruit from the list on the Genie's clipboard.,False,True,0.0,v1.1
wf53fd58,high,8,10,100,100,Choose the clipboard labeled with the word fruit and then choose any item from the list.,False,,,v1.1
w26ad0e0,low,8,10,100,100,One bucket of ping pong balls will be labeled with different types of fruit. The genie will pick one ball at random from that bucket and I have to eat one serving of that fruit.,False,True,0.0,v1.1
w963f6eb,low,1,10,100,1,,,True,0.0,v1.1
w337fd6b,high,8,10,100,100,,,,,v1.1
w57ce523,low,8,10,100,100,,,,,v1.1
wd34206a,low,8,10,100,100,"The Genie will pick one ball at random, with each ball labeled with the name of a fruit.",False,True,0.0,v1.1
w46af21d,high,8,10,100,100,You pick the item of fruit,False,True,0.0,v1.1
w910cf5b,low,8,10,100,100,"The Genie will pick one ball at random from the bucket, and the fruit written on that ball is what I will eat.",False,True,0.0,v1.1
w3d1bfb4,high,8,10,100,100,I pick whatever fruit I want.,False,True,0.0,v1.1
w9efa540,high,8,10,100,100,The genie says I can pick any item on a list of fruit,False,True,0.0,v1.1
w0ffd1ae,low,8,10,100,100,The Genie will pick one ball at random from the bucket,False,True,0.0,v1.1
wbc69db2,low,8,10,100,100,Each fruit will be printed on a ping-pong ball drawn from a bucket randomly.,False,True,0.0,v1.1
w41b70d5,high,8,10,100,100,You can pick the fruit you want.,False,True,0.0,v1.1
w73c3983,high,8,10,100,100,The genie presents three lists. I choose an item from one of the lists.,False,True,0.0,v1.1
w7c90e86,high,8,10,100,100,"The fruit will be chosen using a list entitled ""Fruit,"" where one can freely choose any of the options on that list.",False,True,0.0,v1.1
wc94aa43,high,8,10,100,100,I can pick any fruit from the list that the genie shows me.,False,True,0.0,v1.1
w9a7844c,low,8,10,100,100,the genie will pick it out of a bucket.,False,True,0.0,v1.1
wcfc7005,high,8,10,100,100,I can pick any item from the list,False,True,0.0,v1.1
wc4cea04,low,8,10,100,100,ball with corresponding fruit with be chosen randomly from bucket,False,True,0.0,v1.1
wfa60274,high,8,10,100,100,by picking one on the list of fruit presented on the clipboard,False,True,0.0,v1.1
w9151baf,low,8,10,100,100,Genie will randomly pick a ball from the bucket,False,True,0.0,v1.1
w88d629c,low,8,10,100,100,"The Genie is going to pick one ball at random from the bucket, and i'll have to eat one serving of that fruit.",False,True,0.0,v1.1
w7010ad8,low,8,10,100,100,,,,,v1.1
w9e4935e,low,8,10,100,100,Pick one ball at random and eat what fruit is on it.,False,True,0.0,v1.1
w8b6ce21,high,8,10,100,100,Based on what fruit I pick from the list.,False,True,0.0,v1.1
w3913f64,low,8,10,100,100,Randomly,False,True,0.0,v1.1
wf2599e5,low,8,10,100,100,"The fruit will depend of the bucket i choose, every bucket has a different label. The label is the name of the fruit that is in the said bucket.",False,True,0.0,v1.1
w71a93b6,high,8,10,100,100,I choose any one fruit from a list to eat,False,True,0.0,v1.1
w870562f,low,8,10,100,100,The genie will pick a ball randomly,False,True,0.0,v1.1
wf964bb8,low,8,10,100,100,The genie will pick a random ball with a fruit written on it from the bucket,False,True,0.0,v1.1
w9211451,high,8,10,100,100,I will get to pick the fruit from the list.,False,True,0.0,v1.1
wf514b4a,low,8,10,100,100,The genie randomly picks a ping pong ball with a fruit written on it.,False,True,0.0,v1.1
weca3ebb,high,8,10,100,100,I will choose the fruit from a list on a clipboard.,False,True,0.0,v1.1
w2db48d3,low,8,10,100,100,The genie picks one ball from the bucket,False,True,0.0,v1.1
w3f01ce2,high,8,10,100,100,I get to choose.,False,True,0.0,v1.1
we97e3d0,high,8,10,100,100,the fruit will be chosen by Each clipboard label.,False,True,0.0,v1.1
w9e8ae6b,high,8,10,100,100,You choose any one item (fruit in this case) from the list and you have to eat one serving of the fruit.,False,True,0.0,v1.1
w159596a,low,8,10,100,100,It will be chosen at random from the bucket.,False,True,0.0,v1.1
w8a2984a,low,8,10,100,100,The genie picks one random ball out from the bucket that lists different names of fruit.,False,True,0.0,v1.1
w5b5740c,high,8,10,100,100,"You're required to choose one serving of fruit from a list labeled ""fruit.""",False,True,0.0,v1.1
w0f75e31,high,8,10,100,100,,,,,v1.1
w6ced3ce,high,8,10,100,100,I get to pick the fruit from the list.,False,True,0.0,v1.1
wff61e84,low,8,10,100,100,The Genie will pick one ball at random from the bucket and whatever type of fruit is written on that ball I will have to eat.,False,True,0.0,v1.1
w16f135b,low,8,10,100,100,The genie picks a ball at random from the bucket labeled âfruitâ,False,True,0.0,v1.1
