wid,outcome,considered,evaluation,prompt_id,raw_outcome
w8a97578,vienna,False,9,VACATION,Vienna
w8a97578,athens,False,10,VACATION,Athens
w8a97578,rome,False,8,VACATION,Rome
w8a97578,paris,False,10,VACATION,Paris
w8a97578,london,False,9,VACATION,London
w8a97578,venice,False,8,VACATION,Venice
w8a97578,madrid,False,9,VACATION,Madrid
w8a97578,UNK,True,10,VACATION,Edinburgh
w8a97578,amsterdam,False,10,VACATION,Amsterdam
w8a97578,deer,True,-9,ZOO_INTIMATE,Bear
w8a97578,tiger,True,-10,ZOO_INTIMATE,Tiger
w8a97578,elephant,False,3,ZOO_INTIMATE,elephant
w8a97578,kangaroo,False,-4,ZOO_INTIMATE,kangaroo
w8a97578,gorilla,False,-10,ZOO_INTIMATE,gorilla
w8a97578,jaguar,False,-10,ZOO_INTIMATE,jaguar
w8a97578,monkey,False,0,ZOO_INTIMATE,monkey
w8a97578,panda,False,8,ZOO_INTIMATE,panda
w8a97578,giraffe,False,7,ZOO_INTIMATE,giraffe
w8a97578,koala,False,5,ZOO_INTIMATE,koala
w8a97578,cobra,False,-10,ZOO_INTIMATE,cobra
w8a97578,rhinoceros,False,-8,ZOO_INTIMATE,rhinoceros
w8a97578,UNK,True,-10,ZOO_INTIMATE,Big cats generally
w8a97578,lion,False,-10,ZOO_INTIMATE,lion
w8a97578,sloth,False,10,ZOO_INTIMATE,sloth
w8a97578,crocodile,False,-10,ZOO_INTIMATE,crocodile
w8a97578,peacock,False,9,ZOO_INTIMATE,peacock
w8a97578,geometry,False,-3,SCHOOL,geometry
w8a97578,calculus,False,1,SCHOOL,calculus
w8a97578,algebra,False,1,SCHOOL,algebra
w8a97578,UNK,True,9,SCHOOL,English Literature
w8a97578,french,False,7,SCHOOL,french
w8a97578,physics,False,-7,SCHOOL,physics
w8a97578,english,False,7,SCHOOL,english
w8a97578,history,False,-2,SCHOOL,history
w8a97578,biology,False,0,SCHOOL,biology
w8a97578,UNK,True,1,SCHOOL,Math
w8a97578,spanish,False,7,SCHOOL,spanish
w8a97578,chemistry,False,-3,SCHOOL,chemistry
w8a97578,helicopter,False,2,COMMUTE,helicopter
w8a97578,skateboard,False,-1,COMMUTE,skateboard
w8a97578,plane,False,0,COMMUTE,plane
w8a97578,limousine,False,5,COMMUTE,limousine
w8a97578,bicycle,True,1,COMMUTE,Bicycle
w8a97578,scooter,False,1,COMMUTE,scooter
w8a97578,car,False,5,COMMUTE,car
w8a97578,train,False,4,COMMUTE,train
w8a97578,bus,False,1,COMMUTE,bus
w8a97578,UNK,True,4,COMMUTE,Subway
w8a97578,boat,False,-3,COMMUTE,boat
w8a97578,boxing,False,-3,SEASON_PASS,boxing
w8a97578,tennis,False,-3,SEASON_PASS,tennis
w8a97578,bowling,False,-2,SEASON_PASS,bowling
w8a97578,basketball,False,-2,SEASON_PASS,basketball
w8a97578,soccer,False,-1,SEASON_PASS,soccer
w8a97578,golf,False,-8,SEASON_PASS,golf
w8a97578,cricket,False,-4,SEASON_PASS,cricket
w8a97578,football,False,-4,SEASON_PASS,football
w8a97578,volleyball,False,0,SEASON_PASS,volleyball
w8a97578,baseball,False,-4,SEASON_PASS,baseball
w8a97578,badminton,False,-5,SEASON_PASS,badminton
w8a97578,rugby,False,-3,SEASON_PASS,rugby
w0b01e65,UNK,True,10,VACATION,Dublin
w0b01e65,venice,False,10,VACATION,Venice
