wid,outcome,considered,evaluation,prompt_id,raw_outcome
w0b34d6e,venice,False,1,PRACTICE,Venice
w0b34d6e,UNK,True,10,PRACTICE,Barcelona
w0b34d6e,UNK,True,10,PRACTICE,Prague
w0b34d6e,amsterdam,False,6,PRACTICE,Amsterdam
w0b34d6e,rome,True,5,PRACTICE,Rome
w0b34d6e,vienna,False,6,PRACTICE,Vienna
w0b34d6e,london,False,3,PRACTICE,London
w0b34d6e,paris,False,7,PRACTICE,Paris
w0b34d6e,madrid,False,5,PRACTICE,Madrid
w0b34d6e,UNK,True,10,PRACTICE,Florence
w0b34d6e,athens,False,4,PRACTICE,Athens
w0b34d6e,limousine,False,0,Vehicles (veto),limousine
w0b34d6e,unicycle,False,0,Vehicles (veto),unicycle
w0b34d6e,helicopter,False,10,Vehicles (veto),helicopter
w0b34d6e,skateboard,False,0,Vehicles (veto),skateboard
w0b34d6e,UNK,True,-10,Vehicles (veto),horse
w0b34d6e,plane,False,0,Vehicles (veto),plane
w0b34d6e,car,True,-8,Vehicles (veto),car
w0b34d6e,train,True,-6,Vehicles (veto),train
w0b34d6e,bicycle,False,0,Vehicles (veto),bicycle
w0b34d6e,scooter,False,0,Vehicles (veto),scooter
w0b34d6e,spanish,False,10,Subjects (magic),spanish
w0b34d6e,biology,False,0,Subjects (magic),biology
w0b34d6e,chemistry,False,0,Subjects (magic),chemistry
w0b34d6e,french,False,10,Subjects (magic),french
w0b34d6e,english,False,2,Subjects (magic),english
w0b34d6e,history,False,4,Subjects (magic),history
w0b34d6e,physics,False,5,Subjects (magic),physics
w0b34d6e,algebra,False,2,Subjects (magic),algebra
w0b34d6e,calculus,False,2,Subjects (magic),calculus
w0b34d6e,geometry,False,2,Subjects (magic),geometry
w0b34d6e,soccer,False,0,Sports (silence),soccer
w0b34d6e,basketball,False,0,Sports (silence),basketball
w0b34d6e,rugby,False,0,Sports (silence),rugby
w0b34d6e,cricket,False,0,Sports (silence),cricket
w0b34d6e,tennis,False,-4,Sports (silence),tennis
w0b34d6e,golf,False,0,Sports (silence),golf
w0b34d6e,volleyball,False,0,Sports (silence),volleyball
w0b34d6e,baseball,False,-6,Sports (silence),baseball
w0b34d6e,bowling,False,-6,Sports (silence),bowling
w0b34d6e,football,False,0,Sports (silence),football
w0b34d6e,UNK,True,-10,Sports (silence),Horseback Riding (Equestrian)
w0b34d6e,boxing,False,0,Sports (silence),boxing
w0b34d6e,badminton,False,-3,Sports (silence),badminton
w0b34d6e,cobra,False,-9,Animals (bubble),cobra
w0b34d6e,zebra,False,5,Animals (bubble),zebra
w0b34d6e,monkey,False,5,Animals (bubble),monkey
w0b34d6e,lemur,False,3,Animals (bubble),lemur
w0b34d6e,deer,False,2,Animals (bubble),deer
w0b34d6e,peacock,False,0,Animals (bubble),peacock
w0b34d6e,koala,False,0,Animals (bubble),koala
w0b34d6e,panda,False,0,Animals (bubble),panda
w0b34d6e,tiger,False,8,Animals (bubble),tiger
w0b34d6e,giraffe,False,4,Animals (bubble),giraffe
w0b34d6e,kangaroo,False,3,Animals (bubble),kangaroo
w0b34d6e,rhinoceros,False,1,Animals (bubble),rhinoceros
w0b34d6e,gorilla,True,4,Animals (bubble),gorilla
w0b34d6e,crocodile,False,3,Animals (bubble),crocodile
w0b34d6e,sloth,False,0,Animals (bubble),sloth
w0b34d6e,elephant,False,10,Animals (bubble),elephant
w0b34d6e,jaguar,False,10,Animals (bubble),jaguar
w0b34d6e,lion,False,10,Animals (bubble),lion
w8318954,athens,False,0,PRACTICE,Athens
w8318954,amsterdam,False,3,PRACTICE,Amsterdam
w8318954,london,True,7,PRACTICE,London
w8318954,UNK,True,10,PRACTICE,Stockholm
w8318954,venice,False,1,PRACTICE,Venice
w8318954,paris,True,-2,PRACTICE,Paris
w8318954,vienna,False,3,PRACTICE,Vienna
w8318954,rome,False,2,PRACTICE,Rome
w8318954,UNK,True,6,PRACTICE,Berlin
w8318954,tiger,False,-10,Animals (intimate),tiger
w8318954,rhinoceros,False,-8,Animals (intimate),rhinoceros
w8318954,panda,True,5,Animals (intimate),Panda
w8318954,UNK,True,-4,Animals (intimate),Muskrats
w8318954,kangaroo,False,-7,Animals (intimate),kangaroo
w8318954,peacock,False,3,Animals (intimate),peacock
w8318954,jaguar,False,-10,Animals (intimate),jaguar
w8318954,monkey,False,-3,Animals (intimate),monkey
