wid,outcome,considered,evaluation,prompt_id
w616cc3b,UNK,False,6,PRACTICE
w616cc3b,UNK,False,6,PRACTICE
w616cc3b,UNK,True,8,PRACTICE
w616cc3b,UNK,False,6,PRACTICE
w616cc3b,UNK,False,5,PRACTICE
w616cc3b,UNK,False,7,PRACTICE
w616cc3b,UNK,False,5,PRACTICE
w616cc3b,UNK,True,6,PRACTICE
w616cc3b,football,False,-4,Sports (silence)
w616cc3b,basketball,True,-6,Sports (silence)
w616cc3b,volleyball,False,-4,Sports (silence)
w616cc3b,hockey,True,-6,Sports (silence)
w616cc3b,soccer,True,-9,Sports (silence)
w616cc3b,UNK,False,-2,Sports (silence)
w616cc3b,tennis,False,-6,Sports (silence)
w616cc3b,rugby,False,-1,Sports (silence)
w616cc3b,cricket,False,-1,Sports (silence)
w616cc3b,bowling,False,-1,Sports (silence)
w616cc3b,boxing,False,0,Sports (silence)
w616cc3b,golf,False,-5,Sports (silence)
w616cc3b,UNK,False,6,Animals (bubble)
w616cc3b,lemur,False,6,Animals (bubble)
w616cc3b,zebra,True,7,Animals (bubble)
w616cc3b,gorilla,False,7,Animals (bubble)
w616cc3b,UNK,False,5,Animals (bubble)
w616cc3b,kangaroo,False,7,Animals (bubble)
w616cc3b,monkey,False,6,Animals (bubble)
w616cc3b,koala,False,6,Animals (bubble)
w616cc3b,lion,False,7,Animals (bubble)
w616cc3b,UNK,False,5,Animals (bubble)
w616cc3b,tiger,False,7,Animals (bubble)
w616cc3b,giraffe,True,8,Animals (bubble)
w616cc3b,rhinoceros,False,6,Animals (bubble)
w616cc3b,panda,False,7,Animals (bubble)
w616cc3b,elephant,False,7,Animals (bubble)
w616cc3b,crocodile,False,3,Animals (bubble)
w616cc3b,helicopter,False,-1,Vehicles (veto)
w616cc3b,airplane,False,-6,Vehicles (veto)
w616cc3b,unicycle,False,-1,Vehicles (veto)
w616cc3b,skateboard,False,-2,Vehicles (veto)
w616cc3b,train,False,-3,Vehicles (veto)
w616cc3b,car,True,-9,Vehicles (veto)
w616cc3b,bicycle,True,-8,Vehicles (veto)
w616cc3b,scooter,False,-1,Vehicles (veto)
w616cc3b,bicycle,False,-8,Vehicles (veto)
w616cc3b,UNK,False,-1,Vehicles (veto)
w616cc3b,calculus,False,8,Subjects (magic)
w616cc3b,physics,False,7,Subjects (magic)
w616cc3b,english,False,5,Subjects (magic)
w616cc3b,spanish,False,7,Subjects (magic)
w616cc3b,french,False,6,Subjects (magic)
w616cc3b,algebra,False,7,Subjects (magic)
w616cc3b,chemistry,True,7,Subjects (magic)
w616cc3b,geometry,False,6,Subjects (magic)
w616cc3b,biology,False,8,Subjects (magic)
w616cc3b,history,False,9,Subjects (magic)
wf04dfee,UNK,False,0,PRACTICE
wf04dfee,UNK,False,1,PRACTICE
wf04dfee,UNK,False,3,PRACTICE
wf04dfee,UNK,False,-2,PRACTICE
wf04dfee,UNK,False,6,PRACTICE
wf04dfee,UNK,False,2,PRACTICE
wf04dfee,UNK,False,6,PRACTICE
wf04dfee,UNK,False,4,PRACTICE
wf04dfee,lemur,False,2,Animals (bubble)
wf04dfee,rhinoceros,False,1,Animals (bubble)
wf04dfee,kangaroo,False,2,Animals (bubble)
wf04dfee,zebra,True,6,Animals (bubble)
