wid,outcome,considered,evaluation,prompt_id,raw_outcome
w616cc3b,venice,False,6,PRACTICE,Venice
w616cc3b,rome,False,6,PRACTICE,Rome
w616cc3b,paris,True,8,PRACTICE,Paris
w616cc3b,vienna,False,6,PRACTICE,Vienna
w616cc3b,amsterdam,False,5,PRACTICE,Amsterdam
w616cc3b,london,False,7,PRACTICE,London
w616cc3b,athens,False,5,PRACTICE,Athens
w616cc3b,madrid,True,6,PRACTICE,Madrid
w616cc3b,football,False,-4,Sports (silence),football
w616cc3b,basketball,True,-6,Sports (silence),Basketball
w616cc3b,volleyball,False,-4,Sports (silence),volleyball
w616cc3b,soccer,True,-6,Sports (silence),Hockey
w616cc3b,soccer,True,-9,Sports (silence),Soccer
w616cc3b,badminton,False,-2,Sports (silence),badminton
w616cc3b,tennis,False,-6,Sports (silence),tennis
w616cc3b,rugby,False,-1,Sports (silence),rugby
w616cc3b,cricket,False,-1,Sports (silence),cricket
w616cc3b,bowling,False,-1,Sports (silence),bowling
w616cc3b,boxing,False,0,Sports (silence),boxing
w616cc3b,golf,False,-5,Sports (silence),golf
w616cc3b,jaguar,False,6,Animals (bubble),jaguar
w616cc3b,lemur,False,6,Animals (bubble),lemur
w616cc3b,zebra,True,7,Animals (bubble),Zebra
w616cc3b,gorilla,False,7,Animals (bubble),gorilla
w616cc3b,peacock,False,5,Animals (bubble),peacock
w616cc3b,kangaroo,False,7,Animals (bubble),kangaroo
w616cc3b,monkey,False,6,Animals (bubble),monkey
w616cc3b,koala,False,6,Animals (bubble),koala
w616cc3b,lion,False,7,Animals (bubble),lion
w616cc3b,sloth,False,5,Animals (bubble),sloth
w616cc3b,tiger,False,7,Animals (bubble),tiger
w616cc3b,giraffe,True,8,Animals (bubble),Giraffe
w616cc3b,rhinoceros,False,6,Animals (bubble),rhinoceros
w616cc3b,panda,False,7,Animals (bubble),panda
w616cc3b,elephant,False,7,Animals (bubble),elephant
w616cc3b,crocodile,False,3,Animals (bubble),crocodile
w616cc3b,helicopter,False,-1,Vehicles (veto),helicopter
w616cc3b,plane,False,-6,Vehicles (veto),plane
w616cc3b,unicycle,False,-1,Vehicles (veto),unicycle
w616cc3b,skateboard,False,-2,Vehicles (veto),skateboard
w616cc3b,train,False,-3,Vehicles (veto),train
