wid,prompt_id,scenario_evaluation,any_specific,raw_considered,considered
w6b779b8,PRACTICE,7.0,False,,NONE
w6b779b8,Subjects (magic),9.0,False,,NONE
w6b779b8,Sports (silence),5.0,False,,NONE
w6b779b8,Vehicles (veto),5.0,True,tesla,UNK
w6b779b8,Animals (bubble),0.0,False,,NONE
w70c35b2,PRACTICE,7.0,False,,NONE
w70c35b2,Sports (silence),2.0,False,,NONE
w70c35b2,Animals (bubble),7.0,True,Cheetahs,cheetah
w70c35b2,Subjects (magic),10.0,True,Linguistics ,UNK
w70c35b2,Vehicles (veto),-5.0,True,Trains,UNK
wf9fb041,PRACTICE,-6.0,False,,NONE
wf9fb041,Subjects (school),-10.0,False,,NONE
wf9fb041,Vehicles (commute),-7.0,False,,NONE
wf9fb041,Animals (intimate),10.0,False,,NONE
wf9fb041,Sports (season),-10.0,False,,NONE
wb86fb31,PRACTICE,3.0,True,Rome,UNK
wb86fb31,Animals (intimate),-1.0,True,tiger,tiger
wb86fb31,Subjects (school),1.0,True,math,math
wb86fb31,Vehicles (commute),2.0,True,car,car
wb86fb31,Sports (season),-8.0,False,,NONE
w226838c,PRACTICE,4.0,True,Prague,UNK
w226838c,Vehicles (commute),1.0,True,car,car
w226838c,Sports (season),6.0,True,Snowboarding,snowboarding
w226838c,Animals (intimate),-8.0,True,monkey,monkey
w226838c,Subjects (school),-4.0,True,Math,math
w46575fe,PRACTICE,3.0,True,London,UNK
w46575fe,Subjects (school),-2.0,True,English,english
w46575fe,Animals (intimate),9.0,True,Monkey,monkey
w46575fe,Vehicles (commute),4.0,True,Helicopter,helicopter
w46575fe,Sports (season),6.0,True,Hockey,hockey
w15c6738,PRACTICE,-1.0,True,Lisbon,UNK
w15c6738,Vehicles (veto),-5.0,True,Car,car
w15c6738,Animals (bubble),8.0,False,,NONE
w15c6738,Sports (silence),-4.0,False,,NONE
w15c6738,Subjects (magic),7.0,False,,NONE
w2965545,PRACTICE,3.0,False,,NONE
w2965545,Vehicles (veto),0.0,False,,NONE
w2965545,Subjects (magic),6.0,False,,NONE
w2965545,Sports (silence),-4.0,False,,NONE
w2965545,Animals (bubble),5.0,False,,NONE
waa2e2d5,PRACTICE,6.0,True,Venice,UNK
waa2e2d5,Vehicles (veto),-5.0,True,Automobile,car
waa2e2d5,Sports (silence),10.0,True,Football,football
waa2e2d5,Animals (bubble),10.0,True,Elephants,elephant
waa2e2d5,Subjects (magic),10.0,True,math,math
we2eddb5,PRACTICE,2.0,True,Rome,UNK
we2eddb5,Subjects (school),-2.0,False,,NONE
we2eddb5,Animals (intimate),4.0,True,monkey,monkey
we2eddb5,Vehicles (commute),-7.0,True,train,train
we2eddb5,Sports (season),0.0,False,,NONE
w8d504ac,PRACTICE,7.0,False,,NONE
w8d504ac,Sports (season),7.0,True,soccer,soccer
w8d504ac,Vehicles (commute),-2.0,False,,NONE
w8d504ac,Subjects (school),-4.0,False,,NONE
w8d504ac,Animals (intimate),5.0,False,,NONE
w20f04e4,PRACTICE,2.0,True,Venice,UNK
w20f04e4,Sports (silence),-10.0,True,Football,football
w20f04e4,Vehicles (veto),-10.0,False,,NONE
w20f04e4,Subjects (magic),7.0,True,Astrophysics,UNK
w20f04e4,Animals (bubble),10.0,False,,NONE
w901f9e7,PRACTICE,2.0,True,Prague,UNK
w901f9e7,Subjects (school),-1.0,True,math,math
w901f9e7,Sports (season),-3.0,True,baseball,baseball
w901f9e7,Vehicles (commute),5.0,True,car,car
w901f9e7,Animals (intimate),4.0,True,monkey,monkey
w1da4c75,PRACTICE,5.0,True,Prague,UNK
w1da4c75,Animals (bubble),2.0,True,whale,UNK
w1da4c75,Vehicles (veto),-1.0,True,boat,boat
w1da4c75,Subjects (magic),9.0,True,neurology,UNK
w1da4c75,Sports (silence),-1.0,True,soccer,soccer
w4e5ac64,PRACTICE,2.0,True,Lyon,UNK
w4e5ac64,Sports (season),-10.0,False,,NONE
w4e5ac64,Subjects (school),10.0,True,Biology,biology
w4e5ac64,Vehicles (commute),-4.0,False,,NONE
w4e5ac64,Animals (intimate),10.0,True,platypus,UNK
w9aba902,PRACTICE,10.0,True,Paris,UNK
w9aba902,Vehicles (veto),-4.0,True,car,car
w9aba902,Animals (bubble),10.0,True,red panda,UNK
w9aba902,Subjects (magic),10.0,True,Computer Science,computer science
w9aba902,Sports (silence),10.0,True,baseball,baseball
wa79b032,PRACTICE,7.0,True,Lisbon,UNK
wa79b032,Animals (intimate),4.0,True,tiger,tiger
wa79b032,Sports (season),10.0,True,baseball,baseball
wa79b032,Subjects (school),7.0,True,psychology,psychology
wa79b032,Vehicles (commute),10.0,True,cycling,UNK
w6360ebe,PRACTICE,1.0,True,London,UNK
w6360ebe,Subjects (magic),3.0,True,History,history
w6360ebe,Vehicles (veto),-4.0,True,Bus,bus
w6360ebe,Sports (silence),-2.0,True,soccer,soccer
w6360ebe,Animals (bubble),2.0,True,lion,lion
w2c59cca,PRACTICE,10.0,True,Paris ,UNK
w2c59cca,Vehicles (commute),-10.0,True,bus ,bus
w2c59cca,Subjects (school),-10.0,True,math,math
w2c59cca,Animals (intimate),0.0,False,,NONE
w2c59cca,Sports (season),-10.0,False,,NONE
w2408085,PRACTICE,8.0,False,,NONE
w2408085,Subjects (magic),6.0,False,,NONE
w2408085,Vehicles (veto),1.0,True,airplane,airplane
w2408085,Animals (bubble),10.0,False,,NONE
w2408085,Sports (silence),0.0,False,,NONE
wd3f4012,PRACTICE,8.0,True,Paris,UNK
wd3f4012,Vehicles (veto),-6.0,True,car,car
wd3f4012,Subjects (magic),6.0,False,,NONE
wd3f4012,Sports (silence),-5.0,True,basketball,basketball
