wid,outcome,evaluation,prompt_id
w6d7538b,UNK,5,PRACTICE
w6d7538b,UNK,0,PRACTICE
w6d7538b,UNK,6,PRACTICE
w6d7538b,UNK,7,PRACTICE
w6d7538b,UNK,9,PRACTICE
w6d7538b,UNK,9,PRACTICE
w6d7538b,UNK,4,PRACTICE
w6d7538b,UNK,10,PRACTICE
w6d7538b,elephant,8,Animals (bubble)
w6d7538b,llama,3,Animals (bubble)
w6d7538b,otter,9,Animals (bubble)
w6d7538b,cheetah,3,Animals (bubble)
w6d7538b,tiger,5,Animals (bubble)
w6d7538b,frog,-7,Animals (bubble)
w6d7538b,flamingo,1,Animals (bubble)
w6d7538b,bear,7,Animals (bubble)
w6d7538b,wolf,5,Animals (bubble)
w6d7538b,seal,8,Animals (bubble)
w6d7538b,polar bear,10,Animals (bubble)
w6d7538b,zebra,4,Animals (bubble)
w6d7538b,kangaroo,6,Animals (bubble)
w6d7538b,meerkat,-1,Animals (bubble)
w6d7538b,lion,8,Animals (bubble)
w6d7538b,lizard,-8,Animals (bubble)
w6d7538b,panda,10,Animals (bubble)
w6d7538b,snake,-10,Animals (bubble)
w6d7538b,lemur,-1,Animals (bubble)
w6d7538b,fish,-4,Animals (bubble)
w6d7538b,alligator,-3,Animals (bubble)
w6d7538b,giraffe,7,Animals (bubble)
w6d7538b,sea lion,9,Animals (bubble)
w6d7538b,horse,1,Animals (bubble)
w6d7538b,crocodile,-2,Animals (bubble)
w6d7538b,monkey,-2,Animals (bubble)
w6d7538b,turtle,8,Animals (bubble)
w6d7538b,dolphin,10,Animals (bubble)
w6d7538b,koala,10,Animals (bubble)
w6d7538b,hippo,1,Animals (bubble)
w6d7538b,penguin,10,Animals (bubble)
w6d7538b,rhinoceros,1,Animals (bubble)
w6d7538b,leopard,3,Animals (bubble)
w6d7538b,shark,7,Animals (bubble)
w6d7538b,bird,-6,Animals (bubble)
w6d7538b,gorilla,1,Animals (bubble)
w6d7538b,ostrich,-9,Animals (bubble)
w6d7538b,english,7,Subjects (magic)
w6d7538b,physics,2,Subjects (magic)
w6d7538b,german,2,Subjects (magic)
w6d7538b,political science,2,Subjects (magic)
w6d7538b,philosophy,7,Subjects (magic)
w6d7538b,music,10,Subjects (magic)
w6d7538b,history,9,Subjects (magic)
w6d7538b,geometry,0,Subjects (magic)
