wid,prompt,response
w6d7538b,Stubbing your toe,-4
w6d7538b,Breaking both legs in a car accident,-10
w6d7538b,Getting a flat tire on the way home from work,-6
w6d7538b,Finding a $5 bill on the street,5
w6d7538b,Eating a spoonful of rice,3
w6d7538b,Free dinner with a friend at your favorite restaurant,8
w6d7538b,Winning the lottery,10
w6c23a1b,Eating a spoonful of rice,1
w6c23a1b,Winning the lottery,10
w6c23a1b,Breaking both legs in a car accident,-10
w6c23a1b,Getting a flat tire on the way home from work,-6
w6c23a1b,Finding a $5 bill on the street,4
w6c23a1b,Stubbing your toe,-3
w6c23a1b,Free dinner with a friend at your favorite restaurant,7
